Year	Mnth	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	NINO_db6_J1_W1	NINO_db6_J1_V1	PDO_fk4_J2_W1	PDO_fk4_J2_W2	PDO_fk4_J2_V2	prcp_db4_J2_W1	prcp_db4_J2_W2	prcp_db4_J2_V2	srad_fk14_J1_W1	srad_fk14_J1_V1	tmax_db7_J1_W1	tmax_db7_J1_V1	tmax_db7_J1_W1	tmax_db7_J1_V1	tmin_sym4_J2_W1	tmin_sym4_J2_W2	tmin_sym4_J2_V2	CSI-S	CSI-C	Output_StrFlow(m3/s)	
1981	11	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.24857788	0.892283807	0.832529629	0.820756296	0.618079597	0.334228942	0.689824157	0.617582597	0.476223437	0.59172507	0.367564654	0.108078919	0.202605618	0.704904017	0.440127131	0.458158065	0.215557561	0.027560607	0.371144422	0.548617504	0.224394915	0.165455806	0.074011219	0.006084872	0.150853135	0.390235756	0.131125427	0.105023148	0.049129208	0.005310622	0.076823292	0.191167948	0.20977827	0.191225323	0.082621496	0.008416089	0.071634477	0.112919118	0.260584666	0.278693126	0.136927566	0.021020467	0.083455046	0.178466423	0.328713766	0.34441438	0.193027724	0.018823152	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	0.506893442	0.659163987	0.510318949	0.652870494	0.602094241	0.534724907	0.57073955	0.487804878	0.644859813	0.958115183	0.54232702	0.636655949	0.469043152	0.527369826	0.488656195	0.374307435	0.451768489	0.493433396	0.582109479	0.771378709	-0.009208578	0.482992893	-0.041678159	0.066894374	0.655258266	0.170931538	0.041123557	0.190502726	-0.04462103	0.160289301	-0.038435591	0.298739322	-0.038435591	0.298739322	-0.008611549	0.018026288	0.18438244	-0.5	0.866025404	0.008468772	
1981	12	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.24857788	0.892283807	0.832529629	0.820756296	0.618079597	0.334228942	0.689824157	0.617582597	0.476223437	0.59172507	0.367564654	0.108078919	0.202605618	0.704904017	0.440127131	0.458158065	0.215557561	0.027560607	0.371144422	0.548617504	0.224394915	0.165455806	0.074011219	0.006084872	0.150853135	0.390235756	0.131125427	0.105023148	0.049129208	0.005310622	0.076823292	0.191167948	0.20977827	0.191225323	0.082621496	0.008416089	0.071634477	0.112919118	0.260584666	0.278693126	0.136927566	0.021020467	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	0.506893442	0.659163987	0.510318949	0.652870494	0.602094241	0.534724907	0.57073955	0.487804878	0.644859813	0.958115183	0.54232702	0.636655949	0.469043152	0.527369826	0.488656195	-0.016783589	0.570325376	0.000555559	0.004129228	0.67152446	-0.181401327	0.055530312	0.159108467	0.043659086	0.108914073	0.044251228	0.194203357	0.044251228	0.194203357	0.006855414	0.059992964	0.318088577	-2.4503E-16	1	0.005426336	
1982	1	0.552800999	0.107884553	0.008548488	0.07547215	0.039525262	0.005426336	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.24857788	0.892283807	0.832529629	0.820756296	0.618079597	0.334228942	0.689824157	0.617582597	0.476223437	0.59172507	0.367564654	0.108078919	0.202605618	0.704904017	0.440127131	0.458158065	0.215557561	0.027560607	0.371144422	0.548617504	0.224394915	0.165455806	0.074011219	0.006084872	0.150853135	0.390235756	0.131125427	0.105023148	0.049129208	0.005310622	0.076823292	0.191167948	0.20977827	0.191225323	0.082621496	0.008416089	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	0.506893442	0.659163987	0.510318949	0.652870494	0.602094241	0.534724907	0.57073955	0.487804878	0.644859813	0.958115183	0.013267986	0.68034155	0.032847597	-0.014856807	0.652402552	0.179429604	0.004275115	0.14416849	-0.062368063	0.224995963	-0.047168188	0.160840268	-0.047168188	0.160840268	-0.016424254	0.127590883	0.50715909	0.5	0.866025404	0.005091894	
1982	2	0.205694313	0.40516324	0.125058506	0.06263189	0.032643731	0.005091894	0.552800999	0.107884553	0.008548488	0.07547215	0.039525262	0.005426336	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.24857788	0.892283807	0.832529629	0.820756296	0.618079597	0.334228942	0.689824157	0.617582597	0.476223437	0.59172507	0.367564654	0.108078919	0.202605618	0.704904017	0.440127131	0.458158065	0.215557561	0.027560607	0.371144422	0.548617504	0.224394915	0.165455806	0.074011219	0.006084872	0.150853135	0.390235756	0.131125427	0.105023148	0.049129208	0.005310622	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	0.506893442	0.659163987	0.510318949	0.652870494	0.602094241	0.02045665	0.739242734	0.014236633	-0.03348122	0.610680838	0.024964167	-0.008041878	0.130526614	-0.012412578	0.400244596	0.013825851	0.200497401	0.013825851	0.200497401	0.003744703	0.092097733	0.693233961	0.866025404	0.5	0.005755604	
1982	3	0.471173249	0.538120274	0.189439561	0.154026647	0.083471334	0.005755604	0.205694313	0.40516324	0.125058506	0.06263189	0.032643731	0.005091894	0.552800999	0.107884553	0.008548488	0.07547215	0.039525262	0.005426336	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.24857788	0.892283807	0.832529629	0.820756296	0.618079597	0.334228942	0.689824157	0.617582597	0.476223437	0.59172507	0.367564654	0.108078919	0.202605618	0.704904017	0.440127131	0.458158065	0.215557561	0.027560607	0.371144422	0.548617504	0.224394915	0.165455806	0.074011219	0.006084872	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	-0.038180981	0.696610439	0.006206671	-0.008376994	0.578263638	-0.213023486	0.039778906	0.106347343	0.066574213	0.53206386	0.026313238	0.298217679	0.026313238	0.298217679	0.008026119	-0.009497794	0.829600245	1	6.12574E-17	0.018251543	
1982	4	0.387785465	0.672228349	0.265294217	0.271226236	0.136514325	0.018251543	0.471173249	0.538120274	0.189439561	0.154026647	0.083471334	0.005755604	0.205694313	0.40516324	0.125058506	0.06263189	0.032643731	0.005091894	0.552800999	0.107884553	0.008548488	0.07547215	0.039525262	0.005426336	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.24857788	0.892283807	0.832529629	0.820756296	0.618079597	0.334228942	0.689824157	0.617582597	0.476223437	0.59172507	0.367564654	0.108078919	0.202605618	0.704904017	0.440127131	0.458158065	0.215557561	0.027560607	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.013842961	0.587105951	0.017376915	0.041013645	0.524128335	0.142369673	0.005044752	0.07563673	-0.042627584	0.641574781	-0.040656909	0.487086889	-0.040656909	0.487086889	0.002820696	-0.078698854	0.868485521	0.866025404	-0.5	0.123093538	
1982	5	0.228788316	0.791743461	0.474492974	0.578810361	0.339158816	0.123093538	0.387785465	0.672228349	0.265294217	0.271226236	0.136514325	0.018251543	0.471173249	0.538120274	0.189439561	0.154026647	0.083471334	0.005755604	0.205694313	0.40516324	0.125058506	0.06263189	0.032643731	0.005091894	0.552800999	0.107884553	0.008548488	0.07547215	0.039525262	0.005426336	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.24857788	0.892283807	0.832529629	0.820756296	0.618079597	0.334228942	0.689824157	0.617582597	0.476223437	0.59172507	0.367564654	0.108078919	0.522741915	0.426045016	0.801125704	0.32576769	0.413612565	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.023772092	0.497509518	0.027605427	0.038561	0.520421851	0.023964706	-0.094571984	0.067663056	-0.026078861	0.752995795	-0.00550865	0.720511282	-0.00550865	0.720511282	0.005430875	-0.110377688	0.798674786	0.5	-0.866025404	0.474273196	
1982	6	0.100285065	0.92501452	0.682456565	0.710788386	0.367841796	0.474273196	0.228788316	0.791743461	0.474492974	0.578810361	0.339158816	0.123093538	0.387785465	0.672228349	0.265294217	0.271226236	0.136514325	0.018251543	0.471173249	0.538120274	0.189439561	0.154026647	0.083471334	0.005755604	0.205694313	0.40516324	0.125058506	0.06263189	0.032643731	0.005091894	0.552800999	0.107884553	0.008548488	0.07547215	0.039525262	0.005426336	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.24857788	0.892283807	0.832529629	0.820756296	0.618079597	0.334228942	0.397629171	0.249196141	0.840525328	0.355140187	0.872600349	0.522741915	0.426045016	0.801125704	0.32576769	0.413612565	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	-0.018391581	0.442809361	-0.019803208	0.027904284	0.539756927	-0.058984237	-0.124531528	0.067106008	0.014716929	0.788365176	0.044768735	0.87490617	0.044768735	0.87490617	0.006789014	-0.107472063	0.650012486	1.22515E-16	-1	0.371361589	
1982	7	0.304842894	0.771322616	0.835559862	0.858046021	0.427505152	0.371361589	0.100285065	0.92501452	0.682456565	0.710788386	0.367841796	0.474273196	0.228788316	0.791743461	0.474492974	0.578810361	0.339158816	0.123093538	0.387785465	0.672228349	0.265294217	0.271226236	0.136514325	0.018251543	0.471173249	0.538120274	0.189439561	0.154026647	0.083471334	0.005755604	0.205694313	0.40516324	0.125058506	0.06263189	0.032643731	0.005091894	0.552800999	0.107884553	0.008548488	0.07547215	0.039525262	0.005426336	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.654463342	0.680680961	0.898502573	0.88004176	0.823876721	0.164449596	0.550315681	0.696141479	0.718574109	0.503337784	0.705061082	0.397629171	0.249196141	0.840525328	0.355140187	0.872600349	0.522741915	0.426045016	0.801125704	0.32576769	0.413612565	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	-0.003882361	0.383648055	-0.068685486	0.040143117	0.530605025	-0.059336418	0.012009329	0.121607386	0.064357874	0.700824163	-0.00982501	0.884679521	-0.00982501	0.884679521	-0.001477163	-0.07241889	0.453556859	-0.5	-0.866025404	0.197771514	
1982	8	0.470596714	0.590355021	0.807434069	0.887337732	0.669850648	0.197771514	0.304842894	0.771322616	0.835559862	0.858046021	0.427505152	0.371361589	0.100285065	0.92501452	0.682456565	0.710788386	0.367841796	0.474273196	0.228788316	0.791743461	0.474492974	0.578810361	0.339158816	0.123093538	0.387785465	0.672228349	0.265294217	0.271226236	0.136514325	0.018251543	0.471173249	0.538120274	0.189439561	0.154026647	0.083471334	0.005755604	0.205694313	0.40516324	0.125058506	0.06263189	0.032643731	0.005091894	0.552800999	0.107884553	0.008548488	0.07547215	0.039525262	0.005426336	0.611079081	0.028601525	0.069206986	0.175591097	0.092851658	0.008468772	0.137469972	0.234632029	0.319010098	0.335364898	0.194748441	0.026553486	0.501729605	0.262947851	0.441556494	0.539083853	0.367211027	0.038208255	0.276925787	0.498756712	0.751192866	0.735881818	0.612384203	0.067886275	0.5643317	0.576782484	0.839090007	0.834241265	0.764257273	0.092669178	0.596314908	0.553054662	0.686679174	0.476635514	0.595113438	0.550315681	0.696141479	0.718574109	0.503337784	0.705061082	0.397629171	0.249196141	0.840525328	0.355140187	0.872600349	0.522741915	0.426045016	0.801125704	0.32576769	0.413612565	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	-0.024343866	0.346164132	0.023716383	0.02474092	0.521734985	0.080800731	0.135366813	0.211009624	-0.041694402	0.588986624	-0.017506889	0.778201053	-0.017506889	0.778201053	0.041230793	-0.033594967	0.262560903	-0.866025404	-0.5	0.121916954	
