Year	Mnth	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	prcp(mm/day)	srad(W/m2)	tmax(C)	tmin(C)	vp(Pa)	StrFlow(m3/s)	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	AO	NAO	NINO	PDO	PNA	NINO_db6_J1_W1	NINO_db6_J1_V1	PDO_fk4_J2_W1	PDO_fk4_J2_W2	PDO_fk4_J2_V2	srad_db4_J2_W1	srad_db4_J2_W2	srad_db4_J2_V2	tmax_fk14_J1_W1	tmax_fk14_J1_V1	tmin_fk14_J1_W1	tmin_fk14_J1_V1	Vp_db3_J2_W1	Vp_db3_J2_W2	Vp_db3_J2_V2	CSI-S	CSI-C	Output_StrFlow(m3/s)
1981	11	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0	0.948725666	0.863305485	0.609796293	0.338093521	0.199563909	0.043116313	0.725217362	0.511116167	0.35504009	0.387064601	0.3161335	0.045437068	0.82093046	0.462844576	0.277892988	0.316810639	0.180268535	0.265807402	0.496053439	0.187059998	0.103926223	0.161909617	0.030373225	0.126571183	0.432803947	0.279959392	0.10243049	0.167742055	0.023708837	0.30767282	0.165053586	0.241357954	0.148415455	0.205077937	0.00595626	0.116222454	0.130683159	0.392244594	0.291909094	0.341754914	0.007153743	0.030449544	0.24967113	0.461329558	0.321708654	0.059487969	0.005694696	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	0.506893442	0.659163987	0.510318949	0.652870494	0.602094241	0.534724907	0.57073955	0.487804878	0.644859813	0.958115183	0.54232702	0.636655949	0.469043152	0.527369826	0.488656195	0.374307435	0.451768489	0.493433396	0.582109479	0.771378709	-0.009208578	0.482992893	-0.041678159	0.066894374	0.655258266	-1.82E-02	0.129398161	0.80072176	-0.055569226	0.478968993	-0.053601233	0.366929862	-0.03310905	0.105661726	0.132210323	-0.5	0.866025404	0.047877892
1981	12	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0	0.948725666	0.863305485	0.609796293	0.338093521	0.199563909	0.043116313	0.725217362	0.511116167	0.35504009	0.387064601	0.3161335	0.045437068	0.82093046	0.462844576	0.277892988	0.316810639	0.180268535	0.265807402	0.496053439	0.187059998	0.103926223	0.161909617	0.030373225	0.126571183	0.432803947	0.279959392	0.10243049	0.167742055	0.023708837	0.30767282	0.165053586	0.241357954	0.148415455	0.205077937	0.00595626	0.116222454	0.130683159	0.392244594	0.291909094	0.341754914	0.007153743	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	0.506893442	0.659163987	0.510318949	0.652870494	0.602094241	0.534724907	0.57073955	0.487804878	0.644859813	0.958115183	0.54232702	0.636655949	0.469043152	0.527369826	0.488656195	-0.016783589	0.570325376	0.000555559	0.004129228	0.67152446	-0.015621418	0.076338081	0.837195679	0.0279026	0.368176114	0.010587443	0.261714903	0.048167132	0.042803673	0.158715236	-2.4503E-16	1	0.045473191
1982	1	0.472157676	0.207508467	0.14775212	0.038158305	0.129002156	0.045473191	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0	0.948725666	0.863305485	0.609796293	0.338093521	0.199563909	0.043116313	0.725217362	0.511116167	0.35504009	0.387064601	0.3161335	0.045437068	0.82093046	0.462844576	0.277892988	0.316810639	0.180268535	0.265807402	0.496053439	0.187059998	0.103926223	0.161909617	0.030373225	0.126571183	0.432803947	0.279959392	0.10243049	0.167742055	0.023708837	0.30767282	0.165053586	0.241357954	0.148415455	0.205077937	0.00595626	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	0.506893442	0.659163987	0.510318949	0.652870494	0.602094241	0.534724907	0.57073955	0.487804878	0.644859813	0.958115183	0.013267986	0.68034155	0.032847597	-0.014856807	0.652402552	0.01455255	0.029490842	0.774231193	0.065536362	0.2688817	0.086267228	0.147214069	0.060097159	-0.036187614	0.172995574	0.5	0.866025404	0.107675188
1982	2	0.242290903	0.433516477	0.289153048	0.164176045	0.215780509	0.107675188	0.472157676	0.207508467	0.14775212	0.038158305	0.129002156	0.045473191	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0	0.948725666	0.863305485	0.609796293	0.338093521	0.199563909	0.043116313	0.725217362	0.511116167	0.35504009	0.387064601	0.3161335	0.045437068	0.82093046	0.462844576	0.277892988	0.316810639	0.180268535	0.265807402	0.496053439	0.187059998	0.103926223	0.161909617	0.030373225	0.126571183	0.432803947	0.279959392	0.10243049	0.167742055	0.023708837	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	0.506893442	0.659163987	0.510318949	0.652870494	0.602094241	0.02045665	0.739242734	0.014236633	-0.03348122	0.610680838	0.020024908	0.012253193	0.638456328	-0.112303043	0.226720571	-0.117925312	0.092887095	-0.093127383	-0.067707018	0.21415882	0.866025404	0.5	0.07556603
1982	3	0.458286986	0.460420089	0.154602561	0.039709435	0.126050836	0.07556603	0.242290903	0.433516477	0.289153048	0.164176045	0.215780509	0.107675188	0.472157676	0.207508467	0.14775212	0.038158305	0.129002156	0.045473191	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0	0.948725666	0.863305485	0.609796293	0.338093521	0.199563909	0.043116313	0.725217362	0.511116167	0.35504009	0.387064601	0.3161335	0.045437068	0.82093046	0.462844576	0.277892988	0.316810639	0.180268535	0.265807402	0.496053439	0.187059998	0.103926223	0.161909617	0.030373225	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.337714212	0.319935691	0.621013133	0.650200267	0.815008726	-0.038180981	0.696610439	0.006206671	-0.008376994	0.578263638	0.055205753	-0.018956602	0.456241436	0.079594952	0.262844279	0.072101109	0.135961699	4.03E-02	-0.095194272	0.265273384	1	6.12574E-17	0.295376808
1982	4	0.405841208	0.808588921	0.316227455	0.155421863	0.215569014	0.295376808	0.458286986	0.460420089	0.154602561	0.039709435	0.126050836	0.07556603	0.242290903	0.433516477	0.289153048	0.164176045	0.215780509	0.107675188	0.472157676	0.207508467	0.14775212	0.038158305	0.129002156	0.045473191	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0	0.948725666	0.863305485	0.609796293	0.338093521	0.199563909	0.043116313	0.725217362	0.511116167	0.35504009	0.387064601	0.3161335	0.045437068	0.82093046	0.462844576	0.277892988	0.316810639	0.180268535	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.605076665	0.569131833	0.73358349	0.630173565	0.357766143	0.013842961	0.587105951	0.017376915	0.041013645	0.524128335	-0.092597772	-0.048412316	0.294248143	-0.05531313	0.376200677	-0.039395387	0.241365939	-0.036391728	-0.035761676	0.296722309	0.866025404	-0.5	0.594407074
1982	5	0.018272576	0.904125221	0.577016899	0.351486592	0.404282733	0.594407074	0.405841208	0.808588921	0.316227455	0.155421863	0.215569014	0.295376808	0.458286986	0.460420089	0.154602561	0.039709435	0.126050836	0.07556603	0.242290903	0.433516477	0.289153048	0.164176045	0.215780509	0.107675188	0.472157676	0.207508467	0.14775212	0.038158305	0.129002156	0.045473191	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0	0.948725666	0.863305485	0.609796293	0.338093521	0.199563909	0.043116313	0.725217362	0.511116167	0.35504009	0.387064601	0.3161335	0.522741915	0.426045016	0.801125704	0.32576769	0.413612565	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	0.572864322	0.54340836	0.705440901	0.659546061	0.881326353	0.023772092	0.497509518	0.027605427	0.038561	0.520421851	0.071559024	-0.074097656	0.195555971	-0.002945192	0.573959816	-0.005230718	0.388741485	-0.018290693	0.077860478	0.307315893	0.5	-0.866025404	0.568922434
1982	6	0.092346709	0.761694795	0.591425153	0.47005827	0.551437426	0.568922434	0.018272576	0.904125221	0.577016899	0.351486592	0.404282733	0.594407074	0.405841208	0.808588921	0.316227455	0.155421863	0.215569014	0.295376808	0.458286986	0.460420089	0.154602561	0.039709435	0.126050836	0.07556603	0.242290903	0.433516477	0.289153048	0.164176045	0.215780509	0.107675188	0.472157676	0.207508467	0.14775212	0.038158305	0.129002156	0.045473191	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0	0.948725666	0.863305485	0.609796293	0.338093521	0.199563909	0.397629171	0.249196141	0.840525328	0.355140187	0.872600349	0.522741915	0.426045016	0.801125704	0.32576769	0.413612565	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	0.493235408	0.438906752	0.684803002	0.730307076	0.5008726	-0.018391581	0.442809361	-0.019803208	0.027904284	0.539756927	0.021737713	-0.122973761	0.189962749	0.061499959	0.832318164	2.57E-02	0.569889434	0.035067228	0.078516453	0.264331554	1.22515E-16	-1	0.326725868
1982	7	0.007188691	0.980542393	0.826906306	0.614981298	0.262380318	0.326725868	0.092346709	0.761694795	0.591425153	0.47005827	0.551437426	0.568922434	0.018272576	0.904125221	0.577016899	0.351486592	0.404282733	0.594407074	0.405841208	0.808588921	0.316227455	0.155421863	0.215569014	0.295376808	0.458286986	0.460420089	0.154602561	0.039709435	0.126050836	0.07556603	0.242290903	0.433516477	0.289153048	0.164176045	0.215780509	0.107675188	0.472157676	0.207508467	0.14775212	0.038158305	0.129002156	0.045473191	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.002755137	0.866611462	0.951667741	0.636725323	0.112773582	0.032807133	0.550315681	0.696141479	0.718574109	0.503337784	0.705061082	0.397629171	0.249196141	0.840525328	0.355140187	0.872600349	0.522741915	0.426045016	0.801125704	0.32576769	0.413612565	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	0.621955934	0.519292605	0.504690432	0.596795728	0.42408377	-0.003882361	0.383648055	-0.068685486	0.040143117	0.530605025	-0.129247867	-0.120784955	0.279784233	-0.090601661	1.015012529	-0.028625001	0.705458216	0.113851501	0.017718298	0.192421919	-0.5	-0.866025404	0.103906455
1982	8	0.047708209	0.79997217	0.842869601	0.631902718	0.192608901	0.103906455	0.007188691	0.980542393	0.826906306	0.614981298	0.262380318	0.326725868	0.092346709	0.761694795	0.591425153	0.47005827	0.551437426	0.568922434	0.018272576	0.904125221	0.577016899	0.351486592	0.404282733	0.594407074	0.405841208	0.808588921	0.316227455	0.155421863	0.215569014	0.295376808	0.458286986	0.460420089	0.154602561	0.039709435	0.126050836	0.07556603	0.242290903	0.433516477	0.289153048	0.164176045	0.215780509	0.107675188	0.472157676	0.207508467	0.14775212	0.038158305	0.129002156	0.045473191	0.278838884	0.096489157	0.34975164	0.270362486	0.305561219	0.047877892	0.317012312	0.131507922	0.348408515	0.221487786	0.257768079	0.048299445	0.159829625	0.319707459	0.456312643	0.310494453	0.097438689	0.007484754	1.15E-04	0.574432833	0.817123573	0.592033973	0.084824264	0.002535808	0	0.727436332	1	0.708190118	0.164656171	0.006520926	0.596314908	0.553054662	0.686679174	0.476635514	0.595113438	0.550315681	0.696141479	0.718574109	0.503337784	0.705061082	0.397629171	0.249196141	0.840525328	0.355140187	0.872600349	0.522741915	0.426045016	0.801125704	0.32576769	0.413612565	0.737018425	0.52733119	0.703564728	0.393858478	0.205933682	0.688055663	0.696141479	0.549718574	0.437917223	0.291448517	0.675170725	0.696141479	0.455909944	0.461949266	0.417102967	0.435897436	0.368167203	0.459662289	0.50200267	0.385689354	0.392990594	0.508038585	0.365853659	0.566088117	0.514834206	0.525447752	0.450160772	0.335834897	0.55941255	0.755671902	0.399304213	0.294212219	0.382739212	0.475300401	0.282722513	0.415668084	0.278135048	0.403377111	0.544726302	0.561954625	0.518232187	0.573954984	0.457786116	0.480640854	0.27399651	-0.024343866	0.346164132	0.023716383	0.02474092	0.521734985	0.112982928	-0.01723041	0.427340801	5.02E-02	0.975182268	0.013417401	0.688175348	-0.097354712	-0.038135547	0.158641385	-0.866025404	-0.5	0.083630703
